ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
2017,Sudeste,MG,3143302,Interior,Estadual,Urbana,226.946819,311.859154,Masculino,Parda,Novembro,2002,"Sim, três",Completou a Faculdade,Não sei,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Menos de 1 hora,Sim,Continuar estudando e trabalhar
2017,Sul,PR,4104402,Interior,Estadual,Urbana,240.841971,276.064589,Feminino,Branca,Julho,2002,Não tem,Não sei,Nunca estudou,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Menos de 1 hora,Não,Somente continuar estudando
2017,Sudeste,SP,3530607,Interior,Estadual,Urbana,221.642375,231.35721,Masculino,Parda,Janeiro,2002,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Menos de 1 hora,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
2017,Sul,PR,4106902,Capital,Estadual,Urbana,278.047841,314.117316,Masculino,Parda,Agosto,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Não faço trabalhos domésticos,Não,Ainda não sei
2017,Sudeste,SP,3537602,Interior,Estadual,Urbana,243.912324,229.878523,Masculino,Parda,Julho,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Não sei,Mais de 3 horas,Não faço trabalhos domésticos,Sim,Somente continuar estudando
2017,Norte,PA,1504208,Interior,Municipal,Urbana,239.27181,210.575213,Feminino,Preta,Junho,2001,"Sim, dois","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,NA,Não,NA
2017,Sudeste,SP,3508801,Interior,Estadual,Urbana,179.89874,217.737703,Feminino,Branca,Janeiro,2003,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Entre 1 e 2 horas,Sim,Continuar estudando e trabalhar
2017,Norte,PA,1502954,Interior,Municipal,Rural,185.222026,201.757528,Masculino,Parda,Novembro,2001,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Completou a Faculdade,Menos de 1 hora,"Mais de 2 horas, até 3 horas",Não,Somente continuar estudando
2017,Nordeste,PB,2507606,Interior,Municipal,Urbana,191.688775,238.505056,Masculino,Parda,Abril,2002,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Nunca estudou,Entre 1 e 2 horas,Menos de 1 hora,Não,Somente trabalhar
2017,Sul,SC,4209102,Interior,Municipal,Urbana,297.39922,274.039889,Feminino,Parda,Fevereiro,2003,"Sim, um",Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Somente continuar estudando
